element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,2,1747.3169,0.0003,1747.3122,0.0005,5721.4978,0.9,2.0e+04,E,104569.226,110290.739,3d6.(3P2).4d,4F,5/2,3d6.(3F1).5p,4D*,5/2,,T6892c83,L18349c145,,5721.4978,8.651985903243146,wn(cm-1)
Fe,2,1746.27786,0.00008,1746.27756,0.00024,5724.9020,7,2.5e+06,D+,103804.125,109529.028,3d6.(3P2).4d,4D,1/2,3d6.(3P2).5p,4P*,1/2,,T6892c83,L18349c139,,5724.902,8.652580710371998,wn(cm-1)
Fe,2,1746.03982,0.00009,1746.0406,0.0003,5725.6825,7,,,106018.682,111744.362,3d6.(3H).4d,2H,9/2,3d6.(3F2).5p,2G*,7/2,,,L18349c139,,5725.6825,8.652717035290818,wn(cm-1)
Fe,2,1745.92599,0.00018,1745.92715,0.00021,5726.0558,4,6.4e+05,C+,85172.826,90898.878,3d6.(5D).4d,f 4D,1/2,3d6.(5D).5p,4D*,3/2,,T6892c83,L18349c139,,5726.0558,8.652782230633282,wn(cm-1)
Fe,2,1745.1608,0.0006,1745.1603,0.0003,5728.5663,0.18bl(Fe II)*,1.1e+05,E,104839.990,110568.558,3d6.(3F2).4d,4P,3/2,3d6.(3F2).5p,4F*,5/2,,T6892c83,L18349c148,,5728.5663,8.653220568977101,wn(cm-1)
Fe,2,,,1744.9386,0.0003,5729.2960,,2.11e-03,C+,3117.4877,8846.7837,3d7,a 4F,3/2,3d6.(5D).4s,a 4D,1/2,E2,T8961,,,5729.296,8.653347940031471,wn(cm-1)
Fe,2,1744.80248,0.00008,1744.8028,0.0003,5729.7429,5,1.3e+04,E,104064.664,109794.406,3d6.(3H).4d,4I,13/2,3d5.(2G2).4s.4p.(3P*),4H*,11/2,,T6892c83,L18349c139,,5729.7429,8.65342593959219,wn(cm-1)
Fe,2,1744.7109,0.0007,1744.71080,0.00015,5730.043,0.29,1.0e+05,E,104739.057,110469.101,3d6.(3F2).4d,4P,5/2,3d6.(3F2).5p,4D*,7/2,,T6892c83,L18349c139,,5730.043,8.65347831404363,wn(cm-1)
Fe,2,1744.49175,0.00009,1744.49159,0.00018,5730.7635,4,,,107750.540,113481.304,3d6.(5D).6p,4D*,1/2,3d6.(5D).7s,4D,3/2,,,L18349c139,,5730.7635,8.653604046905615,wn(cm-1)
Fe,2,1744.4584,0.0002,1744.45872,0.00024,5730.8731,3,1.7e+05,D+,83713.583,89444.455,3d6.(5D).4d,6D,7/2,3d5.(4P).4s.4p.(3P*),6P*,5/2,,T6892c83,L18349c139,,5730.8731,8.653623171574075,wn(cm-1)
Fe,2,1744.1642,0.0002,1744.16381,0.00015,5731.8397,0.9,,,107498.510,113230.351,3d6.(5D).6p,4D*,3/2,3d6.(5D).7s,6D,3/2,,,L18349c139,,5731.8397,8.65379182275101,wn(cm-1)
Fe,2,,,1743.7190,0.0005,5733.3032,,1.07e-02,D+,21581.6151,27314.9183,3d6.(3H).4s,a 4H,9/2,3d6.(3F2).4s,a 2F,7/2,M1,T8961,,,5733.3032,8.65404711830567,wn(cm-1)
Fe,2,1742.35699,0.00009,1742.35665,0.00024,5737.7849,8,,,107498.510,113236.296,3d6.(5D).6p,4D*,3/2,3d6.(5D).7s,4D,5/2,,,L18349c139,,5737.7849,8.654828508909414,wn(cm-1)
