element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Ni,2,260.994,,,,38303.6,500,,,,,,,,,,,,,L897,,38303.6,10.553299165529573,wn(cm-1)
Ni,2,260.626,,,,38357.7,500,,,,,,,,,,,,,L897,,38357.7,10.554710568909918,wn(cm-1)
Ni,2,256.592,,,,38960.7,500,,,,,,,,,,,,,L897,,38960.7,10.570308724740855,wn(cm-1)
Ni,2,,,254.5899,,39267.06,,1.56e+07,B,14995.57,54262.63,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3F).4p,4G*,7/2,,T1024n,,,39267.06,10.578141278459272,wn(cm-1)
Ni,2,251.087,,251.0874,,39814.8,500,5.8e+07,B,13550.39,53365.17,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3F).4p,4G*,9/2,,T1024n,L897,,39814.8,10.591993981446478,wn(cm-1)
Ni,2,243.789,,243.7889,,41006.6,500,5.4e+07,C,13550.39,54557.05,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3F).4p,4F*,9/2,,T1024n,L897,,41006.6,10.621488308341018,wn(cm-1)
Ni,2,,,243.3555,,41079.69,,7.3e+06,B,14995.57,56075.26,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3F).4p,4F*,5/2,,T1024n,,,41079.69,10.623269117762804,wn(cm-1)
Ni,2,241.613,,241.6135,,41375.9,2000,2.1e+08,C,14995.57,56371.41,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3F).4p,2G*,7/2,,T1024n,L897,,41375.9,10.630453864708649,wn(cm-1)
Ni,2,,,241.3039,,41428.92,,8.3e+06,B,14995.57,56424.49,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3F).4p,4F*,3/2,,T1024n,,,41428.92,10.631734466665051,wn(cm-1)
Ni,2,,,241.2266,,41442.19,,2.4e+05,C,10115.66,51557.85,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3F).4p,4D*,7/2,,T1024n,,,41442.19,10.632054723027332,wn(cm-1)
Ni,2,,,241.0746,,41468.32,,1.0e+06,D,13550.39,55018.71,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3F).4p,4G*,5/2,,T1024n,,,41468.32,10.632685041206901,wn(cm-1)
Ni,2,239.452,,239.4523,,41749.3,1000,1.70e+08,B,13550.39,55299.65,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3F).4p,2G*,9/2,,T1024n,L897,,41749.3,10.639437963671377,wn(cm-1)
Ni,2,,,238.7763,,41867.44,,1.59e+07,B,13550.39,55417.83,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3F).4p,4F*,7/2,,T1024n,,,41867.44,10.642263715515112,wn(cm-1)
