element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ni,11,"=""200.04""","=""0.02""","=""200.1*""","=""""","=""49974""","=""""","=""""",,"=""493250""","=""543220""","=""3s2.3p5.3d""","=""3F*""","=""4""","=""3s2.3p5.3d""","=""1F*""","=""3""",M1,"=""""","=""L4779""",
Ni,1,"=""""","=""""","=""200.04972""","=""""","=""49971.383""","=""""","=""5.4e+06""",C,"=""879.816""","=""50851.199""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d9.(2D).5p""","=""3D*""","=""1""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""200.183""","=""""","=""49938.0""","=""""","=""7.3e+06""",C,"=""204.787""","=""50142.8""","=""3d9.(2D).4s""","=""3D""","=""3""","=""3d9.(2D).5p""","=""*""","=""3""",,"=""T3861""","=""""",
Ni,4,"=""""","=""""","=""200.452""","=""""","=""49871.2""","=""""","=""1.9e+00""",E,"=""18118.6""","=""67989.8""","=""3p6.3d7""","=""4P""","=""5/2""","=""3p6.3d7""","=""2D1""","=""5/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""200.452""","=""""","=""49871.2""","=""""","=""1.5e-03""",E,"=""18118.6""","=""67989.8""","=""3p6.3d7""","=""4P""","=""5/2""","=""3p6.3d7""","=""2D1""","=""5/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""200.69929""","=""""","=""49809.673""","=""""","=""1.7e+07""",C,"=""879.816""","=""50689.489""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d9.(2D).5p""","=""3D*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""200.76853""","=""""","=""49792.498""","=""""","=""9.0e+06""",C,"=""1332.164""","=""51124.662""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d8.(1G).4s.4p.(3P*)""","=""3F*""","=""3""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""201.42411""","=""""","=""49630.460""","=""""","=""9.3e+07""",C,"=""1713.087""","=""51343.547""","=""3d9.(2D).4s""","=""3D""","=""1""","=""3d8.(1G).4s.4p.(3P*)""","=""3F*""","=""2""",,"=""T3861""","=""""",
Ni,4,"=""""","=""""","=""201.454""","=""""","=""49623.0""","=""""","=""3.0e-01""",E,"=""18366.8""","=""67989.8""","=""3p6.3d7""","=""4P""","=""3/2""","=""3p6.3d7""","=""2D1""","=""5/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""201.454""","=""""","=""49623.0""","=""""","=""2.5e-01""",E,"=""18366.8""","=""67989.8""","=""3p6.3d7""","=""4P""","=""3/2""","=""3p6.3d7""","=""2D1""","=""5/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""202.53892""","=""""","=""49357.325""","=""""","=""2.3e+07""",D,"=""1332.164""","=""50689.489""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d9.(2D).5p""","=""3D*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""202.65877""","=""""","=""49328.140""","=""""","=""2.4e+07""",C,"=""0.000""","=""49328.140""","=""3d8.(3F).4s2""","=""3F""","=""4""","=""3d9.(2D).5p""","=""3D*""","=""3""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""202.927""","=""""","=""49263.0""","=""""","=""2.3e+06""",C,"=""879.816""","=""50142.8""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d9.(2D).5p""","=""*""","=""3""",,"=""T3861""","=""""",
Ni,4,"=""""","=""""","=""203.016""","=""""","=""49241.4""","=""""","=""2.7e-01""",E,"=""18118.6""","=""67360.0""","=""3p6.3d7""","=""4P""","=""5/2""","=""3p6.3d7""","=""2D1""","=""3/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""203.016""","=""""","=""49241.4""","=""""","=""2.9e-04""",E,"=""18118.6""","=""67360.0""","=""3p6.3d7""","=""4P""","=""5/2""","=""3p6.3d7""","=""2D1""","=""3/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""203.01869""","=""""","=""49240.700""","=""""","=""1.7e-01""",E,"=""2216.550""","=""51457.250""","=""3d8.(3F).4s2""","=""3F""","=""2""","=""3d9.(2D<3/2>).4d""","=""2[1/2]""","=""0""",E2,"=""T848n""","=""""",
Ni,2,"=""""","=""""","=""203.3389""","=""""","=""49163.17""","=""""","=""2.3e+06""",C,"=""9330.04""","=""58493.21""","=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""3p6.3d8.(3F).4p""","=""2F*""","=""5/2""",,"=""T1024n""","=""""",
Ni,1,"=""""","=""""","=""203.35460""","=""""","=""49159.375""","=""""","=""3.0e+06""",D,"=""879.816""","=""50039.191""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d9.(2D).5p""","=""3F*""","=""2""",,"=""T3861""","=""""",
Ni,4,"=""""","=""""","=""203.885""","=""""","=""49031.4""","=""""","=""2.2e-02""",E,"=""18958.4""","=""67989.8""","=""3p6.3d7""","=""4P""","=""1/2""","=""3p6.3d7""","=""2D1""","=""5/2""",E2,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""204.044""","=""""","=""48993.2""","=""""","=""7.2e-01""",E,"=""18366.8""","=""67360.0""","=""3p6.3d7""","=""4P""","=""3/2""","=""3p6.3d7""","=""2D1""","=""3/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""204.044""","=""""","=""48993.2""","=""""","=""1.3e-01""",E,"=""18366.8""","=""67360.0""","=""3p6.3d7""","=""4P""","=""3/2""","=""3p6.3d7""","=""2D1""","=""3/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""204.11442""","=""""","=""48976.402""","=""""","=""3.2e+06""",D,"=""1713.087""","=""50689.489""","=""3d9.(2D).4s""","=""3D""","=""1""","=""3d9.(2D).5p""","=""3D*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""204.73429""","=""""","=""48828.139""","=""""","=""1.8e+07""",C,"=""204.787""","=""49032.926""","=""3d9.(2D).4s""","=""3D""","=""3""","=""3d9.(2D).5p""","=""1D*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""205.08308""","=""""","=""48745.105""","=""""","=""7.6e+06""",E,"=""1713.087""","=""50458.192""","=""3d9.(2D).4s""","=""3D""","=""1""","=""3d9.(2D).5p""","=""1P*""","=""1""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""205.20737""","=""""","=""48715.586""","=""""","=""9.7e+06""",C,"=""0.000""","=""48715.586""","=""3d8.(3F).4s2""","=""3F""","=""4""","=""3d9.(2D).5p""","=""3F*""","=""4""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""205.24344""","=""""","=""48707.027""","=""""","=""3.2e+06""",C,"=""1332.164""","=""50039.191""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d9.(2D).5p""","=""3F*""","=""2""",,"=""T3861""","=""""",
Ni,2,"=""""","=""""","=""205.3293""","=""""","=""48686.65""","=""""","=""2.5e+06""",B,"=""8393.90""","=""57080.55""","=""3p6.3d8.(3F).4s""","=""4F""","=""9/2""","=""3p6.3d8.(3F).4p""","=""2F*""","=""7/2""",,"=""T1024n""","=""""",
Ni,1,"=""""","=""""","=""205.39095""","=""""","=""48672.049""","=""""","=""7.5e+05""",D,"=""0.000""","=""48672.049""","=""3d8.(3F).4s2""","=""3F""","=""4""","=""3d9.(2D).5p""","=""1F*""","=""3""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""205.54892""","=""""","=""48634.649""","=""""","=""3.3e+07""",C,"=""2216.550""","=""50851.199""","=""3d8.(3F).4s2""","=""3F""","=""2""","=""3d9.(2D).5p""","=""3D*""","=""1""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""205.99008""","=""""","=""48530.503""","=""""","=""2.1e+07""",D,"=""204.787""","=""48735.290""","=""3d9.(2D).4s""","=""3D""","=""3""","=""3d9.(2D).5p""","=""3P*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""206.01952""","=""""","=""48523.570""","=""""","=""2.3e+07""",E,"=""879.816""","=""49403.386""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""3S*""","=""1""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""206.23474""","=""""","=""48472.939""","=""""","=""4.6e+06""",E,"=""2216.550""","=""50689.489""","=""3d8.(3F).4s2""","=""3F""","=""2""","=""3d9.(2D).5p""","=""3D*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""206.33953""","=""""","=""48448.324""","=""""","=""5.0e+06""",D,"=""879.816""","=""49328.140""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d9.(2D).5p""","=""3D*""","=""3""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""206.43735""","=""""","=""48425.371""","=""""","=""4.0e+07""",D,"=""1713.087""","=""50138.458""","=""3d9.(2D).4s""","=""3D""","=""1""","=""3d9.(2D).5p""","=""3P*""","=""0""",,"=""T3861""","=""""",
Ni,4,"=""""","=""""","=""206.539""","=""""","=""48401.6""","=""""","=""1.9e-01""",E,"=""18958.4""","=""67360.0""","=""3p6.3d7""","=""4P""","=""1/2""","=""3p6.3d7""","=""2D1""","=""3/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""206.539""","=""""","=""48401.6""","=""""","=""6.3e-02""",E,"=""18958.4""","=""67360.0""","=""3p6.3d7""","=""4P""","=""1/2""","=""3p6.3d7""","=""2D1""","=""3/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""206.95046""","=""""","=""48305.322""","=""""","=""1.1e+07""",D,"=""879.816""","=""49185.138""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""1D*""","=""2""",,"=""T3861""","=""""",
Ni,4,"=""""","=""""","=""207.574""","=""""","=""48160.2""","=""""","=""8.5e+00""",E,"=""19829.6""","=""67989.8""","=""3p6.3d7""","=""2G""","=""9/2""","=""3p6.3d7""","=""2D1""","=""5/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""208.06190""","=""""","=""48047.313""","=""""","=""8.2e+01""",E,"=""3409.937""","=""51457.250""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d9.(2D<3/2>).4d""","=""2[1/2]""","=""0""",E2,"=""T848n""","=""""",
Ni,2,"=""""","=""""","=""208.0847""","=""""","=""48042.06""","=""""","=""8.0e+06""",C,"=""10663.89""","=""58705.95""","=""3p6.3d8.(3F).4s""","=""4F""","=""3/2""","=""3p6.3d8.(3F).4p""","=""2D*""","=""3/2""",,"=""T1024n""","=""""",
Ni,1,"=""""","=""""","=""208.28447""","=""""","=""47995.976""","=""""","=""8.5e+06""",C,"=""1332.164""","=""49328.140""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d9.(2D).5p""","=""3D*""","=""3""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""208.53518""","=""""","=""47938.281""","=""""","=""7.7e+06""",C,"=""879.816""","=""48818.097""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""1P*""","=""1""",,"=""T3861""","=""""",
Ni,15,"=""208.551""","=""0.002""","=""208.551+""","=""""","=""47934.6""","=""""","=""2.0e+02""",E,"=""14917.5""","=""62852.1""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",M1,"=""T4830""","=""L4779""",
Ni,15,"=""""","=""""","=""208.551""","=""""","=""47934.6""","=""""","=""1.2e-01""",E,"=""14917.5""","=""62852.1""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1D""","=""2""",E2,"=""T4830""","=""""",
Ni,1,"=""""","=""""","=""208.55551""","=""""","=""47933.610""","=""""","=""2.6e+08""",D,"=""3409.937""","=""51343.547""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d8.(1G).4s.4p.(3P*)""","=""3F*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""208.89607""","=""""","=""47855.474""","=""""","=""4.2e+06""",D,"=""879.816""","=""48735.290""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d9.(2D).5p""","=""3P*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""208.90698""","=""""","=""47852.974""","=""""","=""9.7e+06""",D,"=""1332.164""","=""49185.138""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d8.(3P).4s.4p.(3P*)""","=""1D*""","=""2""",,"=""T3861""","=""""",
Ni,2,"=""""","=""""","=""209.0103""","=""""","=""47829.32""","=""""","=""7.0e+06""",C,"=""10663.89""","=""58493.21""","=""3p6.3d8.(3F).4s""","=""4F""","=""3/2""","=""3p6.3d8.(3F).4p""","=""2F*""","=""5/2""",,"=""T1024n""","=""""",
Ni,2,"=""""","=""""","=""209.3553""","=""""","=""47750.51""","=""""","=""6.5e+06""",C+,"=""9330.04""","=""57080.55""","=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""3p6.3d8.(3F).4p""","=""2F*""","=""7/2""",,"=""T1024n""","=""""",
Ni,1,"=""""","=""""","=""209.51235""","=""""","=""47714.725""","=""""","=""1.1e+07""",E,"=""3409.937""","=""51124.662""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d8.(1G).4s.4p.(3P*)""","=""3F*""","=""3""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""210.58349""","=""""","=""47472.051""","=""""","=""3.0e+06""",C,"=""1713.087""","=""49185.138""","=""3d9.(2D).4s""","=""3D""","=""1""","=""3d8.(3P).4s.4p.(3P*)""","=""1D*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""210.97743""","=""""","=""47383.422""","=""""","=""1.5e+06""",C,"=""1332.164""","=""48715.586""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d9.(2D).5p""","=""3F*""","=""4""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""211.17148""","=""""","=""47339.885""","=""""","=""6.5e+06""",C,"=""1332.164""","=""48672.049""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d9.(2D).5p""","=""1F*""","=""3""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""211.44099""","=""""","=""47279.552""","=""""","=""9.7e+06""",C,"=""3409.937""","=""50689.489""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d9.(2D).5p""","=""3D*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""212.13903""","=""""","=""47123.997""","=""""","=""2.8e+07""",C,"=""204.787""","=""47328.784""","=""3d9.(2D).4s""","=""3D""","=""3""","=""3d8.(3P).4s.4p.(3P*)""","=""5S*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""212.48059""","=""""","=""47048.255""","=""""","=""3.8e+07""",C,"=""3409.937""","=""50458.192""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d9.(2D).5p""","=""1P*""","=""1""",,"=""T3861""","=""""",
Ni,4,"=""""","=""""","=""212.508""","=""""","=""47042.2""","=""""","=""4.5e-03""",E,"=""20947.6""","=""67989.8""","=""3p6.3d7""","=""2G""","=""7/2""","=""3p6.3d7""","=""2D1""","=""5/2""",M1,"=""T4605""","=""""",
Ni,4,"=""""","=""""","=""212.508""","=""""","=""47042.2""","=""""","=""6.0e-01""",E,"=""20947.6""","=""67989.8""","=""3p6.3d7""","=""2G""","=""7/2""","=""3p6.3d7""","=""2D1""","=""5/2""",E2,"=""T4605""","=""""",
Ni,2,"=""""","=""""","=""212.5117""","=""""","=""47041.37""","=""""","=""6.4e+06""",C,"=""9330.04""","=""56371.41""","=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""3p6.3d8.(3F).4p""","=""2G*""","=""7/2""",,"=""T1024n""","=""""",
Ni,13,"=""212.550""","=""0.002""","=""212.550+""","=""""","=""47032.9""","=""""","=""2.6e+02""",E,"=""0.0""","=""47032.9""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p4""","=""1D""","=""2""",M1,"=""T4560""","=""L4779""",
Ni,13,"=""""","=""""","=""212.550""","=""""","=""47032.9""","=""""","=""4.1e-01""",E,"=""0.0""","=""47032.9""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p4""","=""1D""","=""2""",E2,"=""T4560""","=""""",
Ni,1,"=""""","=""""","=""212.56261""","=""""","=""47030.102""","=""""","=""5.1e+06""",C,"=""0.000""","=""47030.102""","=""3d8.(3F).4s2""","=""3F""","=""4""","=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""3""",,"=""T3861""","=""""",
Ni,2,"=""""","=""""","=""212.5905""","=""""","=""47023.93""","=""""","=""5.0e+06""",B,"=""8393.90""","=""55417.83""","=""3p6.3d8.(3F).4s""","=""4F""","=""9/2""","=""3p6.3d8.(3F).4p""","=""4F*""","=""7/2""",,"=""T1024n""","=""""",
Ni,1,"=""""","=""""","=""212.84103""","=""""","=""46968.588""","=""""","=""5.6e+06""",C,"=""2216.550""","=""49185.138""","=""3d8.(3F).4s2""","=""3F""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""1D*""","=""2""",,"=""T3861""","=""""",
Ni,2,"=""""","=""""","=""212.8578""","=""""","=""46964.89""","=""""","=""2.48e+07""",B,"=""10115.66""","=""57080.55""","=""3p6.3d8.(3F).4s""","=""4F""","=""5/2""","=""3p6.3d8.(3F).4p""","=""2F*""","=""7/2""",,"=""T1024n""","=""""",
Ni,1,"=""""","=""""","=""212.99541""","=""""","=""46934.550""","=""""","=""4.2e+06""",C,"=""204.787""","=""47139.337""","=""3d9.(2D).4s""","=""3D""","=""3""","=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""2""",,"=""T3861""","=""""",
Ni,2,"=""""","=""""","=""213.8582""","=""""","=""46745.22""","=""""","=""1.77e+07""",C+,"=""9330.04""","=""56075.26""","=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""3p6.3d8.(3F).4p""","=""4F*""","=""5/2""",,"=""T1024n""","=""""",
Ni,1,"=""""","=""""","=""214.77838""","=""""","=""46544.969""","=""""","=""4.7e+07""",C,"=""879.816""","=""47424.785""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""1""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""215.19208""","=""""","=""46455.499""","=""""","=""3.2e+06""",C,"=""2216.550""","=""48672.049""","=""3d8.(3F).4s2""","=""3F""","=""2""","=""3d9.(2D).5p""","=""1F*""","=""3""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""215.22234""","=""""","=""46448.968""","=""""","=""3.2e+06""",C,"=""879.816""","=""47328.784""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""5S*""","=""2""",,"=""T3861""","=""""",
Ni,4,"=""""","=""""","=""215.392""","=""""","=""46412.4""","=""""","=""8.5e+00""",E,"=""20947.6""","=""67360.0""","=""3p6.3d7""","=""2G""","=""7/2""","=""3p6.3d7""","=""2D1""","=""3/2""",E2,"=""T4605""","=""""",
Ni,1,"=""""","=""""","=""215.78282""","=""""","=""46328.333""","=""""","=""4.1e+07""",C,"=""879.816""","=""47208.149""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""1""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""215.83059""","=""""","=""46318.079""","=""""","=""6.9e+07""",C,"=""204.787""","=""46522.866""","=""3d9.(2D).4s""","=""3D""","=""3""","=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""2""",,"=""T3861""","=""""",
Ni,2,"=""""","=""""","=""215.8737""","=""""","=""46308.83""","=""""","=""3.5e+07""",C,"=""10115.66""","=""56424.49""","=""3p6.3d8.(3F).4s""","=""4F""","=""5/2""","=""3p6.3d8.(3F).4p""","=""4F*""","=""3/2""",,"=""T1024n""","=""""",
Ni,1,"=""""","=""""","=""216.10384""","=""""","=""46259.521""","=""""","=""1.3e+07""",C,"=""879.816""","=""47139.337""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""2""",,"=""T3861""","=""""",
Ni,2,"=""""","=""""","=""216.1215""","=""""","=""46255.75""","=""""","=""2.0e+07""",C,"=""10115.66""","=""56371.41""","=""3p6.3d8.(3F).4s""","=""4F""","=""5/2""","=""3p6.3d8.(3F).4p""","=""2G*""","=""7/2""",,"=""T1024n""","=""""",
Ni,2,"=""216.555""","=""""","=""216.5550""","=""""","=""46163.2""","=""1000""","=""2.4e+08""",C,"=""8393.90""","=""54557.05""","=""3p6.3d8.(3F).4s""","=""4F""","=""9/2""","=""3p6.3d8.(3F).4p""","=""4F*""","=""9/2""",,"=""T1024n""","=""L897""",
Ni,1,"=""""","=""""","=""216.61540""","=""""","=""46150.286""","=""""","=""6.6e+06""",C,"=""879.816""","=""47030.102""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""3""",,"=""T3861""","=""""",
Ni,2,"=""216.910""","=""""","=""216.9092""","=""""","=""46087.6""","=""2000""","=""1.58e+08""",B,"=""9330.04""","=""55417.83""","=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""3p6.3d8.(3F).4p""","=""4F*""","=""7/2""",,"=""T1024n""","=""L897""",
Ni,1,"=""""","=""""","=""217.35413""","=""""","=""45993.449""","=""""","=""1.5e+07""",E,"=""3409.937""","=""49403.386""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""3S*""","=""1""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""217.44846""","=""""","=""45973.500""","=""""","=""8.9e+07""",E,"=""1713.087""","=""47686.587""","=""3d9.(2D).4s""","=""3D""","=""1""","=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""0""",,"=""T3861""","=""""",
Ni,2,"=""217.467""","=""""","=""217.4669""","=""""","=""45969.6""","=""2000""","=""1.43e+08""",B,"=""9330.04""","=""55299.65""","=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""3p6.3d8.(3F).4p""","=""2G*""","=""9/2""",,"=""T1024n""","=""L897""",
Ni,2,"=""217.515""","=""""","=""217.5142""","=""""","=""45959.4""","=""1500""","=""1.77e+08""",B,"=""10115.66""","=""56075.26""","=""3p6.3d8.(3F).4s""","=""4F""","=""5/2""","=""3p6.3d8.(3F).4p""","=""4F*""","=""5/2""",,"=""T1024n""","=""L897""",
Ni,2,"=""217.709""","=""""","=""""","=""""","=""45918.5""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L897""",
Ni,2,"=""217.736""","=""""","=""""","=""""","=""45912.8""","=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L897""",
Ni,2,"=""217.935""","=""""","=""""","=""""","=""45870.9""","=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L897""",
Ni,2,"=""218.047""","=""""","=""""","=""""","=""45847.3""","=""800""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L897""",
Ni,1,"=""""","=""""","=""218.23810""","=""""","=""45807.173""","=""""","=""1.3e+07""",C,"=""1332.164""","=""47139.337""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""218.39055""","=""""","=""45775.201""","=""""","=""1.2e+07""",D,"=""3409.937""","=""49185.138""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""1D*""","=""2""",,"=""T3861""","=""""",
Ni,14,"=""218.426""","=""0.002""","=""218.4259""","=""0.0024""","=""45767.8""","=""""","=""1.6e+02""",C,"=""0.0""","=""45767.8""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""3/2""",M1,"=""T4634""","=""L4779""",
Ni,14,"=""218.426""","=""""","=""218.4259""","=""0.0024""","=""45767.8""","=""""","=""7.7e-02""",E,"=""0.0""","=""45767.8""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""3/2""",E2,"=""T4634""","=""""",
Ni,2,"=""218.460""","=""""","=""218.4602""","=""""","=""45760.6""","=""800""","=""2.90e+08""",B,"=""10663.89""","=""56424.49""","=""3p6.3d8.(3F).4s""","=""4F""","=""3/2""","=""3p6.3d8.(3F).4p""","=""4F*""","=""3/2""",,"=""T1024n""","=""L897""",
Ni,2,"=""218.550""","=""""","=""""","=""""","=""45741.8""","=""2500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L897""",
Ni,2,"=""""","=""""","=""218.8042""","=""""","=""45688.67""","=""""","=""5.7e+06""",C+,"=""9330.04""","=""55018.71""","=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""3p6.3d8.(3F).4p""","=""4G*""","=""5/2""",,"=""T1024n""","=""""",
Ni,1,"=""""","=""""","=""219.02292""","=""""","=""45643.050""","=""""","=""3.0e+07""",C,"=""879.816""","=""46522.866""","=""3d9.(2D).4s""","=""3D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""2""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""219.11924""","=""""","=""45622.989""","=""""","=""4.6e+06""",E,"=""3409.937""","=""49032.926""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d9.(2D).5p""","=""1D*""","=""2""",,"=""T3861""","=""""",
Ni,2,"=""219.209""","=""""","=""""","=""""","=""45604.3""","=""3000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L897""",
Ni,1,"=""""","=""""","=""219.73544""","=""""","=""45495.062""","=""""","=""7.8e+07""",C,"=""1713.087""","=""47208.149""","=""3d9.(2D).4s""","=""3D""","=""1""","=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""1""",,"=""T3861""","=""""",
Ni,1,"=""""","=""""","=""220.06834""","=""""","=""45426.250""","=""""","=""8.2e+06""",C,"=""1713.087""","=""47139.337""","=""3d9.(2D).4s""","=""3D""","=""1""","=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""2""",,"=""T3861""","=""""",
Ni,2,"=""220.141""","=""""","=""220.1405""","=""""","=""45411.3""","=""600""","=""1.3e+08""",B,"=""10663.89""","=""56075.26""","=""3p6.3d8.(3F).4s""","=""4F""","=""3/2""","=""3p6.3d8.(3F).4p""","=""4F*""","=""5/2""",,"=""T1024n""","=""L897""",
Ni,1,"=""""","=""""","=""220.15602""","=""""","=""45408.160""","=""""","=""7.3e+07""",C,"=""3409.937""","=""48818.097""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d8.(3P).4s.4p.(3P*)""","=""1P*""","=""1""",,"=""T3861""","=""""",
Ni,2,"=""220.555""","=""""","=""""","=""""","=""45326.0""","=""5000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L897""",
